,RPA nodes x,RPA nodes y,RPA nodes z
245,95.792099,81.5385971,103.759003
246,98.5313034,27.4673004,78.5014038
247,87.3806992,50.2081985,95.7534027
248,89.0449982,50.5396996,96.4121017
249,113.626999,41.2546997,93.498497
250,114.262001,38.1659012,91.6432037
251,119.828003,80.4084015,103.879997
252,130.399002,100.202003,95.1128006
253,125.094002,63.9715004,105.628998
254,127.834999,98.3725967,95.2372971
255,129.091003,99.6623001,95.7089005
256,127.434998,100.293999,95.963501
257,125.143997,97.6368027,98.2631989
258,124.303001,19.6114998,60.5233002
259,147.988007,46.1136017,87.4036026
260,125.510002,33.7949982,88.6128006
261,122.587997,37.5601997,92.0407028
262,94.0493011,35.4234009,88.975502
263,94.6392975,34.4138985,87.8851013
264,94.9123001,33.2893982,86.5406036
265,154.363998,36.4137001,58.6922989
266,158.904999,71.1027985,89.1390991
267,137.449997,46.410099,93.5434036
268,136.348999,45.7260017,93.657402
269,134.776001,45.3069992,93.8728027
270,134.660004,46.6310005,94.4885025
271,122.227997,104.642998,94.5926971
272,123.372002,104.117996,94.1075974
273,87.0361023,84.5279999,101.917999
274,85.8536987,85.2434006,101.700996
275,123.162003,105.352997,93.9822998
276,134.945999,67.5870972,103.168999
277,133.485001,67.1199036,103.646004
278,98.6712036,83.6079025,103.981003
279,89.4621964,33.1918983,82.1769028
280,88.277298,33.9127007,82.1957016
281,93.7333984,33.2280006,85.9511032
282,86.4316025,51.2644997,96.0783997
283,112.474998,89.3816986,103.129997
284,110.785004,89.3038025,103.272003
285,131.679993,97.2500992,96.3756027
286,87.6537018,51.2071991,96.2841034
287,131.007996,97.3612976,95.2570038
288,130.272995,98.3130035,96.1156006
289,132.408997,97.8482971,95.8554001
290,130.757004,99.2090988,95.5884018
291,96.6137009,39.8198013,93.1320038
292,97.4880981,26.8192005,77.2489014
293,88.8639984,49.2942009,95.8394012
294,148.056,82.2365036,94.9382019
295,147.628006,80.3712006,95.2969971
296,148.779999,81.0531998,94.7216034
297,134.466995,96.0161972,96.2204971
298,146.473007,42.403801,85.6624985
299,147.772003,42.9794006,84.9181976
300,128.725998,87.8286972,101.249001
301,130.057999,87.7721024,100.915001
302,145.483002,79.2511978,96.6210022
303,140.070999,102.427002,90.2743988
304,110.342003,28.8132,82.7901993
305,107.483002,83.0490036,104.600998
306,109.089996,83.9834976,104.482002
307,107.716003,31.9412994,88.1631012
308,107.524002,33.2464981,87.7994995
309,126.900002,72.8616028,104.728996
310,115.790001,41.4313011,94.0846024
311,132.740997,39.1831017,91.0402985
312,119.666,59.7943001,104.668999
313,131.697998,54.0414009,101.722
314,130.360992,71.8787003,104.102997
315,119.167,41.5435982,95.9763031
316,121.610001,40.5797997,94.9573975
317,120.327003,40.3558006,94.7958984
318,100.925003,83.7106018,104.230003
319,91.6287003,54.4810982,98.5631027
320,91.199501,53.1708984,98.8331985
321,91.2863007,53.8530006,99.9187012
322,128.018997,28.8831997,80.094101
323,128.858994,29.5084991,80.9559021
324,130.964005,29.7602997,80.6613998
325,108.860001,89.2610016,103.190002
326,108.467003,87.6362991,103.515999
327,101.966003,71.4910965,105.341003
328,118.015999,21.5156994,68.9384003
329,93.322998,78.0802002,103.228996
330,91.7368011,79.3640976,102.713997
331,119.387001,93.9356995,101.358002
332,145.059006,42.8316994,87.4057007
