,front 0 x,front 0 y,front 0 z,front 1 x,front 1 y,front 1 z,init x,init y,init z,dist btw frts,crack len,linearity,height,x,y,z
15,122.37120770857142,49.249185542499994,100.2966478003357,97.51229858398438,69.77549743652344,105.38600158691406,97.51229858398438,69.77549743652344,105.38600158691406,32.63734616662582,122.25283065072539,0.27094854136398727,1.0,-0.14756720737928208,-0.21694350223603837,0.9649660284921133
16,128.89239321655558,43.49876114961111,94.61435605930002,131.8097255448889,43.96504907918889,94.05376623297778,130.92300415039062,43.093299865722656,95.70220184326172,3.007077202298707,4.40389642540128,1.0,1.0,-0.5622912291815885,-0.8266432000825884,0.022126756261955736
17,124.19907968222222,109.15190573511111,93.2516911508,130.92300415039062,43.093299865722656,95.70220184326172,130.92300415039062,43.093299865722656,95.70220184326172,66.44513204377508,169.38297475486323,0.3871073065176833,2.56,0.710039448466954,-0.4603617643366278,-0.5328330203333975
18,143.24862867299998,55.5446179376,95.0738057499,166.8780059814453,64.72779846191406,78.9395980834961,166.8780059814453,64.72779846191406,78.9395980834961,30.04980754596706,30.751422605540867,0.9811526906066088,2.5,0.5912974739859618,0.7915641398303734,0.15425144988758405
19,132.81341732116667,52.897545296941665,99.57061087422498,141.47900390625,64.11219787597656,101.58599853515625,141.47900390625,64.11219787597656,101.58599853515625,14.315118258535774,64.29613813649237,0.17611494332100716,2.5,0.7782685005149227,0.608690916076322,0.15425144988758405
20,115.72660728749999,40.87501894364166,94.5207843415,122.77193440149999,36.4197289882,91.2600814915,109.49199676513672,31.17970085144043,89.26139831542969,8.95088966563219,33.09962813150194,0.7354325358618127,2.5,0.32528519851184945,-0.27844198333936065,-0.9036922050915067
21,96.41708037863333,22.096033088200002,66.46242551536668,141.22500610351562,70.40499877929688,102.1760025024414,141.22500610351562,70.40499877929688,102.1760025024414,74.94642056243819,194.5127039578399,0.2530680559693126,2.5,0.24274393819238255,0.7044636274431609,-0.6669380616522619
22,132.1564088488333,50.95239607250833,98.43923689555834,139.58799743652344,78.64969635009766,101.65299987792969,139.58799743652344,78.64969635009766,101.65299987792969,28.856493621202425,65.87956930757561,0.4367816406167932,2.5,0.2050577983387307,-0.8258257124872399,0.5253219888177297
23,133.29997979621055,56.09582819543684,101.2070816969895,138.8419952392578,80.11219787597656,101.72100067138672,138.8419952392578,80.11219787597656,101.72100067138672,24.65287124283027,61.163430354260896,0.4072945761225295,2.5,-0.06322927134357746,0.2546421471428449,0.9649660284921133
24,123.21898145730769,44.721802801799996,96.29481662517694,138.8419952392578,80.11219787597656,101.72100067138672,138.8419952392578,80.11219787597656,101.72100067138672,39.064076802615546,92.3704838258563,0.3895644162714201,2.5,0.7300153861625884,-0.6830724285339079,0.022126756261955736
25,97.77392590161666,85.8516746735,103.58729283283333,128.3419952392578,41.92559814453125,95.62139892578125,128.3419952392578,41.92559814453125,95.62139892578125,54.105106302437534,145.48376018095513,0.40007779361779156,2.0,0.6502878401571168,0.0,-0.7596879128588213
